contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic contract_contention programme C001,2027-03-13,Renewal,Live,2,2028-03-13,2027-11-07,1,PM,2
C002,Synthetic contract_contention programme C002,2026-11-25,Renewal,Non-live (Consist),1,2028-03-13,2028-02-13,1,PC,3
C003,Synthetic contract_contention programme C003,2027-03-13,Construction,Non-live (Others),3,2028-03-13,2028-02-13,2,C,3
C004,Synthetic contract_contention programme C004,2027-03-24,Renewal,Non-live (Consist),1,2028-03-13,2028-02-13,1,C,3
C005,Synthetic contract_contention programme C005,2027-02-11,Renewal,Non-live (Consist),2,2028-03-13,2028-01-23,1,C,1
C006,Synthetic contract_contention programme C006,2027-04-26,Construction,Non-live (Others),2,2028-03-13,2028-02-15,1,C,3
C007,Synthetic contract_contention programme C007,2027-01-12,Renewal,Non-live (Consist),1,2028-03-13,2028-01-30,1,C,2
C008,Synthetic contract_contention programme C008,2027-05-10,Construction,Non-live (Others),3,2028-03-13,2028-02-13,1,PC,3
C009,Synthetic contract_contention programme C009,2027-01-25,Renewal,Live,3,2028-03-13,2028-02-15,1,C,2
C010,Synthetic contract_contention programme C010,2027-04-19,Renewal,Live,1,2028-03-13,2027-10-26,1,PC,2
