contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic live_closures programme C001,2026-11-17,Renewal,Live,3,2028-01-17,2027-10-03,1,C,2
C002,Synthetic live_closures programme C002,2026-10-21,Renewal,Non-live (Consist),1,2028-01-17,2027-12-19,1,C,3
C003,Synthetic live_closures programme C003,2027-01-30,Construction,Non-live (Others),1,2028-01-17,2027-09-05,1,PC,3
C004,Synthetic live_closures programme C004,2026-10-01,Construction,Non-live (Others),1,2028-01-17,2027-10-17,1,C,3
C005,Synthetic live_closures programme C005,2027-03-01,Renewal,Live,3,2028-01-17,2027-08-29,1,PC,2
C006,Synthetic live_closures programme C006,2026-09-28,Renewal,Live,1,2028-01-17,2027-12-14,2,C,2
C007,Synthetic live_closures programme C007,2027-03-14,Renewal,Non-live (Consist),3,2028-01-17,2027-12-19,1,PC,3
C008,Synthetic live_closures programme C008,2027-02-28,Construction,Non-live (Others),1,2028-01-17,2027-10-17,1,C,3
C009,Synthetic live_closures programme C009,2027-02-28,Construction,Non-live (Others),3,2028-01-17,2027-10-17,1,C,3
C010,Synthetic live_closures programme C010,2026-12-01,Construction,Non-live (Others),3,2028-01-17,2027-11-23,1,C,3
C011,Synthetic live_closures programme C011,2027-02-22,Renewal,Live,3,2028-01-17,2027-10-31,1,PM,2
C012,Synthetic live_closures programme C012,2027-02-07,Renewal,Non-live (Consist),3,2028-01-17,2027-07-13,1,PC,3
C013,Synthetic live_closures programme C013,2026-12-15,Renewal,Live,3,2028-01-17,2027-07-06,1,PM,2
C014,Synthetic live_closures programme C014,2026-09-28,Renewal,Live,1,2028-01-17,2027-09-26,1,PC,2
C015,Synthetic live_closures programme C015,2027-01-23,Renewal,Live,2,2028-01-17,2027-11-28,2,C,2
C016,Synthetic live_closures programme C016,2026-11-25,Renewal,Live,3,2028-01-17,2027-12-26,1,C,2
