contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic live_closures programme C001,2026-11-23,Construction,Non-live (Others),2,2028-01-17,2027-12-19,1,C,3
C002,Synthetic live_closures programme C002,2027-03-19,Renewal,Live,3,2028-01-17,2027-11-28,1,C,2
C003,Synthetic live_closures programme C003,2026-10-01,Construction,Non-live (Others),3,2028-01-17,2027-12-05,1,PC,3
C004,Synthetic live_closures programme C004,2027-01-13,Renewal,Live,3,2028-01-17,2027-11-28,1,C,2
C005,Synthetic live_closures programme C005,2027-01-29,Renewal,Live,1,2028-01-17,2027-08-22,1,C,2
C006,Synthetic live_closures programme C006,2026-11-14,Renewal,Non-live (Consist),2,2028-01-17,2027-12-14,1,C,3
C007,Synthetic live_closures programme C007,2026-11-22,Construction,Non-live (Others),2,2028-01-17,2027-12-05,1,C,3
C008,Synthetic live_closures programme C008,2027-01-02,Renewal,Live,3,2028-01-17,2027-11-07,1,C,2
C009,Synthetic live_closures programme C009,2026-12-26,Renewal,Live,3,2028-01-17,2027-12-26,2,C,2
C010,Synthetic live_closures programme C010,2026-10-18,Renewal,Live,1,2028-01-17,2027-11-28,1,C,2
C011,Synthetic live_closures programme C011,2027-02-24,Renewal,Live,1,2028-01-17,2027-08-24,1,PM,2
C012,Synthetic live_closures programme C012,2027-02-27,Renewal,Live,3,2028-01-17,2027-12-19,1,PC,2
C013,Synthetic live_closures programme C013,2027-01-12,Renewal,Live,3,2028-01-17,2027-12-21,1,C,2
C014,Synthetic live_closures programme C014,2027-01-04,Renewal,Live,1,2028-01-17,2027-08-10,1,C,2
C015,Synthetic live_closures programme C015,2026-12-03,Renewal,Live,2,2028-01-17,2027-10-31,1,PM,2
C016,Synthetic live_closures programme C016,2027-03-10,Construction,Non-live (Others),1,2028-01-17,2027-10-03,1,PC,3
C017,Synthetic live_closures programme C017,2026-10-18,Renewal,Non-live (Consist),3,2028-01-17,2027-12-12,1,PC,3
