contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic mixed programme C001,2026-11-17,Renewal,Live,2,2027-09-27,2027-08-10,1,PM,1
C002,Synthetic mixed programme C002,2026-09-29,Renewal,Live,1,2027-09-27,2027-03-23,1,PM,1
C003,Synthetic mixed programme C003,2026-06-12,Renewal,Non-live (Consist),1,2027-09-27,2027-05-09,2,C,2
C004,Synthetic mixed programme C004,2026-10-14,Renewal,Live,1,2027-09-27,2027-07-04,1,C,1
C005,Synthetic mixed programme C005,2026-07-16,Renewal,Non-live (Consist),3,2027-09-27,2027-07-11,1,PC,2
C006,Synthetic mixed programme C006,2026-07-15,Renewal,Non-live (Consist),1,2027-09-27,2027-08-22,1,PC,2
C007,Synthetic mixed programme C007,2026-08-27,Renewal,Non-live (Consist),3,2027-09-27,2027-04-11,1,PC,2
C008,Synthetic mixed programme C008,2026-11-16,Construction,Non-live (Others),1,2027-09-27,2027-07-11,1,PC,3
C009,Synthetic mixed programme C009,2026-11-14,Renewal,Live,2,2027-09-27,2027-03-23,1,PC,1
C010,Synthetic mixed programme C010,2026-11-25,Renewal,Live,1,2027-09-27,2027-07-04,1,PC,2
C011,Synthetic mixed programme C011,2026-06-10,Construction,Non-live (Others),3,2027-09-27,2027-07-04,1,C,2
C012,Synthetic mixed programme C012,2026-10-30,Construction,Non-live (Others),2,2027-09-27,2027-06-06,1,C,1
C013,Synthetic mixed programme C013,2026-07-24,Construction,Non-live (Others),1,2027-09-27,2027-05-30,1,C,1
C014,Synthetic mixed programme C014,2026-07-31,Renewal,Non-live (Consist),3,2027-09-27,2027-04-25,2,C,4
