contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic precedence_chains programme C001,2026-12-05,Construction,Non-live (Others),1,2028-03-27,2028-02-20,2,C,3
C002,Synthetic precedence_chains programme C002,2026-12-15,Renewal,Live,2,2028-03-27,2028-01-02,1,PM,1
C003,Synthetic precedence_chains programme C003,2027-02-24,Renewal,Live,3,2028-03-27,2028-01-23,1,C,2
C004,Synthetic precedence_chains programme C004,2027-01-17,Renewal,Non-live (Consist),1,2028-03-27,2028-02-13,1,PC,3
C005,Synthetic precedence_chains programme C005,2026-11-27,Renewal,Non-live (Consist),2,2028-03-27,2028-02-20,1,PC,1
C006,Synthetic precedence_chains programme C006,2027-01-31,Renewal,Live,2,2028-03-27,2027-06-29,1,PC,1
C007,Synthetic precedence_chains programme C007,2026-12-22,Construction,Non-live (Others),3,2028-03-27,2028-02-20,2,C,3
C008,Synthetic precedence_chains programme C008,2026-12-08,Renewal,Non-live (Consist),3,2028-03-27,2028-03-05,3,C,2
C009,Synthetic precedence_chains programme C009,2026-10-26,Renewal,Live,2,2028-03-27,2028-02-06,1,PM,1
C010,Synthetic precedence_chains programme C010,2026-12-14,Renewal,Live,1,2028-03-27,2027-12-21,1,PC,1
C011,Synthetic precedence_chains programme C011,2027-04-03,Renewal,Live,3,2028-03-27,2027-12-26,1,C,1
C012,Synthetic precedence_chains programme C012,2026-10-29,Renewal,Live,3,2028-03-27,2027-12-12,1,PC,1
C013,Synthetic precedence_chains programme C013,2027-04-19,Renewal,Live,1,2028-03-27,2027-12-19,1,PC,1
C014,Synthetic precedence_chains programme C014,2027-04-19,Construction,Non-live (Others),1,2028-03-27,2028-02-13,1,PC,3
