contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic interchange_congestion programme C001,2026-12-11,Renewal,Live,3,2027-11-22,2027-06-27,1,PM,2
C002,Synthetic interchange_congestion programme C002,2026-09-13,Construction,Non-live (Others),3,2027-11-22,2027-10-26,1,C,3
C003,Synthetic interchange_congestion programme C003,2026-12-16,Renewal,Live,3,2027-11-22,2027-10-10,1,PM,1
C004,Synthetic interchange_congestion programme C004,2026-12-13,Renewal,Non-live (Consist),1,2027-11-22,2027-06-27,1,PC,2
C005,Synthetic interchange_congestion programme C005,2026-10-31,Renewal,Non-live (Consist),1,2027-11-22,2027-10-17,2,C,2
C006,Synthetic interchange_congestion programme C006,2026-09-08,Renewal,Live,3,2027-11-22,2027-10-10,2,C,2
C007,Synthetic interchange_congestion programme C007,2027-01-28,Construction,Non-live (Others),3,2027-11-22,2027-10-05,2,C,1
C008,Synthetic interchange_congestion programme C008,2026-08-06,Renewal,Live,2,2027-11-22,2027-08-08,1,PC,1
C009,Synthetic interchange_congestion programme C009,2027-01-23,Renewal,Non-live (Consist),3,2027-11-22,2027-10-17,2,C,2
C010,Synthetic interchange_congestion programme C010,2026-10-03,Renewal,Live,2,2027-11-22,2027-10-24,1,C,2
C011,Synthetic interchange_congestion programme C011,2027-01-07,Construction,Non-live (Others),2,2027-11-22,2027-10-10,1,C,1
C012,Synthetic interchange_congestion programme C012,2026-08-21,Construction,Non-live (Others),2,2027-11-22,2027-08-29,1,C,1
C013,Synthetic interchange_congestion programme C013,2026-10-07,Renewal,Live,3,2027-11-22,2027-05-09,1,PM,1
C014,Synthetic interchange_congestion programme C014,2026-08-31,Construction,Non-live (Others),2,2027-11-22,2027-07-20,1,PC,2
C015,Synthetic interchange_congestion programme C015,2027-01-18,Renewal,Non-live (Consist),2,2027-11-22,2027-08-24,1,PC,1
C016,Synthetic interchange_congestion programme C016,2026-09-20,Construction,Non-live (Others),2,2027-11-22,2027-08-22,2,C,1
