contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic priority_pressure programme C001,2026-11-11,Renewal,Non-live (Consist),3,2027-10-25,2027-09-12,3,C,1
C002,Synthetic priority_pressure programme C002,2026-12-28,Construction,Non-live (Others),2,2027-10-25,2027-07-25,2,C,2
C003,Synthetic priority_pressure programme C003,2026-08-15,Construction,Non-live (Others),2,2027-10-25,2027-09-07,2,C,2
C004,Synthetic priority_pressure programme C004,2026-10-16,Renewal,Live,3,2027-10-25,2027-09-07,1,PC,1
C005,Synthetic priority_pressure programme C005,2026-09-10,Renewal,Non-live (Consist),2,2027-10-25,2027-05-16,1,PC,2
C006,Synthetic priority_pressure programme C006,2026-11-06,Renewal,Live,3,2027-10-25,2027-09-12,1,C,1
C007,Synthetic priority_pressure programme C007,2026-09-29,Renewal,Non-live (Consist),3,2027-10-25,2027-05-16,1,PC,2
C008,Synthetic priority_pressure programme C008,2026-09-27,Renewal,Non-live (Consist),1,2027-10-25,2027-08-22,2,C,2
C009,Synthetic priority_pressure programme C009,2026-10-02,Construction,Non-live (Others),2,2027-10-25,2027-08-31,2,C,1
C010,Synthetic priority_pressure programme C010,2026-10-16,Renewal,Non-live (Consist),2,2027-10-25,2027-08-29,1,PC,1
C011,Synthetic priority_pressure programme C011,2026-11-25,Renewal,Non-live (Consist),3,2027-10-25,2027-09-05,1,C,1
C012,Synthetic priority_pressure programme C012,2026-09-18,Renewal,Live,2,2027-10-25,2027-08-01,1,PM,1
C013,Synthetic priority_pressure programme C013,2026-09-17,Renewal,Non-live (Consist),3,2027-10-25,2027-08-10,1,C,2
C014,Synthetic priority_pressure programme C014,2026-07-11,Renewal,Live,2,2027-10-25,2027-09-07,1,C,1
C015,Synthetic priority_pressure programme C015,2026-09-03,Construction,Non-live (Others),3,2027-10-25,2027-05-11,1,PC,1
C016,Synthetic priority_pressure programme C016,2026-11-22,Renewal,Live,3,2027-10-25,2027-04-11,1,C,1
