contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic mixed programme C001,2026-09-15,Renewal,Non-live (Consist),2,2027-09-27,2027-06-27,1,PC,1
C002,Synthetic mixed programme C002,2026-06-14,Construction,Non-live (Others),1,2027-09-27,2027-07-25,1,C,1
C003,Synthetic mixed programme C003,2026-09-19,Construction,Non-live (Others),1,2027-09-27,2027-06-01,1,PC,2
C004,Synthetic mixed programme C004,2026-08-19,Renewal,Non-live (Consist),1,2027-09-27,2027-03-30,1,C,3
C005,Synthetic mixed programme C005,2026-08-12,Renewal,Live,1,2027-09-27,2027-07-04,1,C,1
C006,Synthetic mixed programme C006,2026-09-17,Renewal,Non-live (Consist),3,2027-09-27,2027-07-04,1,C,2
C007,Synthetic mixed programme C007,2026-08-18,Construction,Non-live (Others),3,2027-09-27,2027-07-04,1,PC,1
C008,Synthetic mixed programme C008,2026-09-18,Construction,Non-live (Others),1,2027-09-27,2027-07-25,1,C,1
C009,Synthetic mixed programme C009,2026-11-21,Renewal,Live,3,2027-09-27,2027-07-25,1,PM,1
C010,Synthetic mixed programme C010,2026-09-14,Construction,Non-live (Others),2,2027-09-27,2027-07-13,1,PC,2
C011,Synthetic mixed programme C011,2026-07-10,Renewal,Live,3,2027-09-27,2027-07-11,1,PC,1
C012,Synthetic mixed programme C012,2026-11-26,Construction,Non-live (Others),3,2027-09-27,2027-07-04,1,C,2
C013,Synthetic mixed programme C013,2026-06-26,Renewal,Non-live (Consist),3,2027-09-27,2027-06-20,1,C,1
C014,Synthetic mixed programme C014,2026-06-12,Renewal,Non-live (Consist),3,2027-09-27,2027-06-06,1,C,1
