contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic compressed_horizon programme C001,2027-04-15,Renewal,Live,3,2028-01-03,2027-12-05,1,PM,4
C002,Synthetic compressed_horizon programme C002,2027-03-23,Renewal,Non-live (Consist),1,2028-01-03,2027-11-28,1,C,1
C003,Synthetic compressed_horizon programme C003,2027-01-28,Renewal,Non-live (Consist),1,2028-01-03,2027-11-07,1,PC,2
C004,Synthetic compressed_horizon programme C004,2027-03-16,Renewal,Non-live (Consist),3,2028-01-03,2027-12-05,1,C,2
C005,Synthetic compressed_horizon programme C005,2027-02-28,Construction,Non-live (Others),3,2028-01-03,2027-11-16,2,C,3
C006,Synthetic compressed_horizon programme C006,2027-05-13,Renewal,Live,3,2028-01-03,2027-12-05,1,PC,1
C007,Synthetic compressed_horizon programme C007,2027-03-31,Renewal,Non-live (Consist),2,2028-01-03,2027-11-21,1,C,1
C008,Synthetic compressed_horizon programme C008,2027-03-23,Renewal,Non-live (Consist),1,2028-01-03,2027-11-09,1,C,2
C009,Synthetic compressed_horizon programme C009,2027-01-12,Renewal,Non-live (Consist),3,2028-01-03,2027-11-14,1,PC,1
C010,Synthetic compressed_horizon programme C010,2027-02-05,Construction,Non-live (Others),2,2028-01-03,2027-11-21,2,C,2
C011,Synthetic compressed_horizon programme C011,2027-04-11,Renewal,Live,1,2028-01-03,2027-11-14,1,PC,1
C012,Synthetic compressed_horizon programme C012,2027-05-31,Construction,Non-live (Others),3,2028-01-03,2027-12-05,2,C,2
C013,Synthetic compressed_horizon programme C013,2027-05-04,Renewal,Non-live (Consist),3,2028-01-03,2027-11-07,1,C,2
C014,Synthetic compressed_horizon programme C014,2027-04-11,Renewal,Non-live (Consist),3,2028-01-03,2027-11-28,1,C,2
C015,Synthetic compressed_horizon programme C015,2027-03-05,Renewal,Live,3,2028-01-03,2027-12-05,2,C,3
C016,Synthetic compressed_horizon programme C016,2027-05-22,Construction,Non-live (Others),3,2028-01-03,2027-11-16,1,PC,2
