contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic precedence_chains programme C001,2027-01-16,Renewal,Non-live (Consist),2,2028-03-27,2028-02-27,1,C,2
C002,Synthetic precedence_chains programme C002,2027-02-21,Renewal,Non-live (Consist),3,2028-03-27,2028-01-18,1,C,2
C003,Synthetic precedence_chains programme C003,2026-12-02,Renewal,Non-live (Consist),1,2028-03-27,2028-02-13,1,C,1
C004,Synthetic precedence_chains programme C004,2027-01-24,Construction,Non-live (Others),1,2028-03-27,2028-02-29,1,PC,3
C005,Synthetic precedence_chains programme C005,2026-11-21,Construction,Non-live (Others),1,2028-03-27,2028-02-27,2,C,2
C006,Synthetic precedence_chains programme C006,2027-03-31,Renewal,Live,3,2028-03-27,2027-09-26,1,PC,3
C007,Synthetic precedence_chains programme C007,2027-03-21,Renewal,Live,3,2028-03-27,2028-02-06,1,PC,1
C008,Synthetic precedence_chains programme C008,2027-04-22,Construction,Non-live (Others),3,2028-03-27,2028-02-06,1,C,2
C009,Synthetic precedence_chains programme C009,2027-03-24,Renewal,Non-live (Consist),1,2028-03-27,2028-02-27,1,C,2
C010,Synthetic precedence_chains programme C010,2027-01-29,Renewal,Live,3,2028-03-27,2028-02-06,1,C,2
C011,Synthetic precedence_chains programme C011,2027-03-12,Construction,Non-live (Others),3,2028-03-27,2028-02-22,1,C,1
C012,Synthetic precedence_chains programme C012,2027-04-12,Construction,Non-live (Others),2,2028-03-27,2028-02-20,1,C,3
C013,Synthetic precedence_chains programme C013,2027-03-02,Renewal,Non-live (Consist),1,2028-03-27,2028-02-08,1,C,1
C014,Synthetic precedence_chains programme C014,2026-10-24,Renewal,Non-live (Consist),2,2028-03-27,2028-02-15,1,PC,2
