contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic long_spans programme C001,2026-09-21,Renewal,Non-live (Consist),1,2027-12-20,2027-11-02,1,PC,3
C002,Synthetic long_spans programme C002,2026-10-01,Renewal,Non-live (Consist),1,2027-12-20,2027-11-28,1,C,3
C003,Synthetic long_spans programme C003,2026-11-04,Renewal,Live,2,2027-12-20,2027-11-28,1,C,2
C004,Synthetic long_spans programme C004,2026-12-27,Construction,Non-live (Others),2,2027-12-20,2027-11-21,2,C,3
C005,Synthetic long_spans programme C005,2026-10-05,Renewal,Non-live (Consist),3,2027-12-20,2027-09-19,1,C,3
C006,Synthetic long_spans programme C006,2026-12-26,Renewal,Live,3,2027-12-20,2027-09-19,1,PC,2
C007,Synthetic long_spans programme C007,2027-02-04,Construction,Non-live (Others),2,2027-12-20,2027-11-14,1,PC,3
C008,Synthetic long_spans programme C008,2027-02-17,Renewal,Non-live (Consist),2,2027-12-20,2027-08-22,1,PC,3
C009,Synthetic long_spans programme C009,2026-11-20,Construction,Non-live (Others),3,2027-12-20,2027-10-24,1,PC,3
C010,Synthetic long_spans programme C010,2026-12-18,Renewal,Live,2,2027-12-20,2027-10-10,1,PM,2
C011,Synthetic long_spans programme C011,2027-02-08,Construction,Non-live (Others),2,2027-12-20,2027-11-23,1,PC,3
C012,Synthetic long_spans programme C012,2027-02-10,Renewal,Non-live (Consist),3,2027-12-20,2027-10-10,1,C,3
C013,Synthetic long_spans programme C013,2026-12-19,Construction,Non-live (Others),2,2027-12-20,2027-11-07,1,C,3
C014,Synthetic long_spans programme C014,2027-01-07,Construction,Non-live (Others),3,2027-12-20,2027-09-12,1,C,3
