contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic long_spans programme C001,2027-01-18,Renewal,Non-live (Consist),3,2027-12-20,2027-11-28,1,PC,3
C002,Synthetic long_spans programme C002,2026-11-17,Renewal,Non-live (Consist),3,2027-12-20,2027-11-14,1,C,3
C003,Synthetic long_spans programme C003,2026-10-08,Renewal,Live,2,2027-12-20,2027-11-07,2,C,2
C004,Synthetic long_spans programme C004,2027-01-14,Renewal,Live,2,2027-12-20,2027-10-24,1,PC,2
C005,Synthetic long_spans programme C005,2026-11-09,Renewal,Live,3,2027-12-20,2027-08-15,1,PM,2
C006,Synthetic long_spans programme C006,2026-11-29,Renewal,Live,3,2027-12-20,2027-10-03,1,PM,2
C007,Synthetic long_spans programme C007,2026-11-20,Construction,Non-live (Others),3,2027-12-20,2027-11-28,1,C,3
C008,Synthetic long_spans programme C008,2026-12-10,Construction,Non-live (Others),3,2027-12-20,2027-09-19,1,C,3
C009,Synthetic long_spans programme C009,2026-12-08,Construction,Non-live (Others),3,2027-12-20,2027-08-10,1,PC,3
C010,Synthetic long_spans programme C010,2026-12-07,Renewal,Non-live (Consist),3,2027-12-20,2027-11-28,1,PC,3
C011,Synthetic long_spans programme C011,2026-11-01,Construction,Non-live (Others),3,2027-12-20,2027-09-26,1,C,3
C012,Synthetic long_spans programme C012,2026-12-06,Construction,Non-live (Others),2,2027-12-20,2027-09-07,2,C,3
C013,Synthetic long_spans programme C013,2027-02-01,Construction,Non-live (Others),3,2027-12-20,2027-10-31,1,PC,3
C014,Synthetic long_spans programme C014,2026-11-11,Renewal,Non-live (Consist),3,2027-12-20,2027-11-21,2,C,3
