contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic contract_contention programme C001,2027-01-30,Renewal,Non-live (Consist),1,2028-03-13,2028-02-13,2,C,4
C002,Synthetic contract_contention programme C002,2027-02-21,Construction,Non-live (Others),3,2028-03-13,2028-01-02,2,C,1
C003,Synthetic contract_contention programme C003,2027-01-29,Construction,Non-live (Others),3,2028-03-13,2028-01-02,1,PC,3
C004,Synthetic contract_contention programme C004,2026-12-04,Construction,Non-live (Others),2,2028-03-13,2028-01-25,2,C,2
C005,Synthetic contract_contention programme C005,2026-12-22,Construction,Non-live (Others),3,2028-03-13,2028-02-01,1,PC,3
C006,Synthetic contract_contention programme C006,2026-12-25,Renewal,Non-live (Consist),1,2028-03-13,2028-02-13,2,C,3
C007,Synthetic contract_contention programme C007,2026-12-18,Construction,Non-live (Others),2,2028-03-13,2028-01-04,2,C,3
C008,Synthetic contract_contention programme C008,2027-04-27,Renewal,Live,1,2028-03-13,2028-02-13,1,C,2
C009,Synthetic contract_contention programme C009,2027-02-21,Renewal,Non-live (Consist),1,2028-03-13,2028-02-13,1,PC,2
C010,Synthetic contract_contention programme C010,2027-04-20,Renewal,Live,1,2028-03-13,2027-12-12,1,PM,1
